	UniProtID	Description	GO_Terms
CXorf66	Q5JRM2	Uncharacterized protein CXorf66	GO:0016021
OR10J3	Q5JRS4	Olfactory receptor 10J3	GO:0004930;GO:0004984;GO:0005886;GO:0016021;GO:0050911;GO:0007186
TMEM255A	Q5JRV8	Transmembrane protein 255A	GO:0009617;GO:0016021
PITRM1	Q5JRX3	Presequence protease, mitochondrial	GO:0004222;GO:0005739;GO:0005759;GO:0006508;GO:0006626;GO:0008047;GO:0008237;GO:0008270;GO:0043085;GO:0016485
RALGPS1	Q5JS13	Ras-specific guanine nucleotide-releasing factor RalGPS1	GO:0005085;GO:0005575;GO:0005737;GO:0005886;GO:0007264;GO:0008321;GO:0032485;GO:0035556
NHLRC3	Q5JS37	NHL repeat-containing protein 3	GO:0005576;GO:0035578;GO:0043312;GO:0000209;GO:0061630;GO:0043161
PSMG4	Q5JS54	Proteasome assembly chaperone 4	GO:0043248
WDR44	Q5JSH3	WD repeat-containing protein 44	GO:0005794;GO:0005829;GO:0010008;GO:0048471;GO:0017137
DOCK11	Q5JSL3	Dedicator of cytokinesis protein 11	GO:0001782;GO:0002315;GO:0005085;GO:0005089;GO:0005515;GO:0005829;GO:0007264;GO:0007596;GO:0043547;GO:0051491
FGD3	Q5JSP0	FYVE, RhoGEF and PH domain-containing protein 3	GO:0001726;GO:0005085;GO:0005089;GO:0005737;GO:0005794;GO:0005829;GO:0005856;GO:0007010;GO:0007186;GO:0008360;GO:0030027;GO:0030036;GO:0031267;GO:0035023;GO:0043065;GO:0043087;GO:0046847;GO:0046872;GO:0051056
KHDC1L	Q5JSQ8	Putative KHDC1-like protein	GO:0003723;GO:0006919;GO:0005737
MEIG1	Q5JSS6	Meiosis expressed gene 1 protein homolog	GO:0007283;GO:0030154;GO:0005634
EFHC2	Q5JST6	EF-hand domain-containing family member C2	GO:0005509;GO:0005515;GO:1990830;GO:0005874;GO:0010975
PRRC2B	Q5JSZ5	Protein PRRC2B	GO:0003723;GO:0005515
RAB41	Q5JT25	Ras-related protein Rab-41	GO:0000139;GO:0005515;GO:0005525;GO:0005829;GO:0003924;GO:0006886;GO:0006891;GO:0042147;GO:0005794;GO:0032482;GO:0006890
KLF17	Q5JT82	Krueppel-like factor 17	GO:0000981;GO:0003700;GO:0005515;GO:0006357;GO:0044212;GO:0046872;GO:0005634
PLAC9	Q5JTB6	Placenta-specific protein 9	GO:0005515;GO:0005576
AMER1	Q5JTC6	APC membrane recruitment protein 1	GO:0005515;GO:0005546;GO:0005829;GO:0005886;GO:0008013;GO:0016055;GO:0016604;GO:0031398;GO:0043231;GO:0060348;GO:0060612;GO:0060828;GO:0072161;GO:0090090;GO:0090263;GO:1903364;GO:1904713;GO:1904885;GO:1904886
TJAP1	Q5JTD0	Tight junction-associated protein 1	GO:0005515;GO:0005768;GO:0005794;GO:0005802;GO:0005886;GO:0005923;GO:0007030
RRP12	Q5JTH9	RRP12-like protein	GO:0003723;GO:0005730;GO:0016021;GO:0031965
COA6	Q5JTJ3	Cytochrome c oxidase assembly factor 6 homolog	GO:0003723;GO:0005507;GO:0005515;GO:0005739;GO:0005758;GO:0005886;GO:0008535;GO:0042774
TOR1AIP1	Q5JTV8	Torsin-1A-interacting protein 1	GO:0001671;GO:0005515;GO:0005521;GO:0005634;GO:0005637;GO:0008092;GO:0016021;GO:0031965;GO:0032781;GO:0034504;GO:0051117;GO:0071763;GO:0090435
CEP78	Q5JTW2	Centrosomal protein of 78 kDa	GO:0000086;GO:0005813;GO:0005814;GO:0005829;GO:0010389;GO:0036064;GO:0044782;GO:0097711
CBWD3	Q5JTY5	COBW domain-containing protein 3	GO:0005524
AARS2	Q5JTZ9	Alanine--tRNA ligase, mitochondrial	GO:0004813;GO:0005739;GO:0008270;GO:0033108;GO:0070143;GO:0106074;GO:0002161;GO:0006400;GO:0016597;GO:0005524;GO:0000049;GO:0006419
TCTE1	Q5JU00	Dynein regulatory complex subunit 5	GO:0005737;GO:0005856;GO:0030317;GO:0036126
CFAP157	Q5JU67	Cilia- and flagella-associated protein 157	GO:0005829;GO:0005886;GO:0007288;GO:0008017;GO:0036064;GO:0043231
TOR2A	Q5JU69	Torsin-2A	GO:0005524;GO:0005788;GO:0051085;GO:0051260;GO:0016887;GO:0005635
IQSEC2	Q5JU85	IQ motif and SEC7 domain-containing protein 2	GO:0005086;GO:0005737;GO:0032012;GO:0050804;GO:0098685;GO:0098696;GO:0030036
SOHLH1	Q5JUK2	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1	GO:0000981;GO:0003677;GO:0005737;GO:0007275;GO:0007283;GO:0009994;GO:0030154;GO:0042803;GO:0045944;GO:0046982;GO:0005634;GO:0001228
KCNT1	Q5JUK3	Potassium channel subfamily T member 1	GO:0071805;GO:0042391;GO:0005886;GO:0005228;GO:0015271;GO:0016021
PAGE3	Q5JUK9	P antigen family member 3	GO:0005515
TEX30	Q5JUR7	Testis-expressed protein 30	GO:0016787
KRBOX4	Q5JUW0	KRAB domain-containing protein 4	GO:0003676;GO:0006355
SPIN3	Q5JUX0	Spindlin-3	GO:0005515;GO:0007276;GO:0035064;GO:0005654;GO:0005829
FRMPD3	Q5JV73	FERM and PDZ domain-containing protein 3	GO:0005856;GO:0005886;GO:0030667;GO:0043312;GO:0070821
PCID2	Q5JVF3	PCI domain-containing protein 2	GO:0005515;GO:0005575;GO:0005634;GO:0005737;GO:0043066;GO:0043488;GO:0044615;GO:0045579;GO:0045893;GO:0048536;GO:0070390;GO:0090267;GO:2000117;GO:0003690;GO:0071033;GO:0000973;GO:0016973;GO:0003723;GO:0006368;GO:0035327
ZNF484	Q5JVG2	Zinc finger protein 484	GO:0000981;GO:0006357;GO:0046872;GO:0005634;GO:0003677
ZNF506	Q5JVG8	Zinc finger protein 506	GO:0000981;GO:0003677;GO:0005730;GO:0006357;GO:0046872
EFHC1	Q5JVL4	EF-hand domain-containing protein 1	GO:0000281;GO:0000922;GO:0005509;GO:0005515;GO:0005813;GO:0005930;GO:0007052;GO:0008022;GO:0021795;GO:0043014;GO:0043025;GO:0051302;GO:0072686;GO:0060285
HABP4	Q5JVS0	Intracellular hyaluronan-binding protein 4	GO:0002576;GO:0003723;GO:0005515;GO:0005576;GO:0005634;GO:0005730;GO:0005737;GO:0005829;GO:0006397;GO:0008380;GO:0010494;GO:0015030;GO:0016528;GO:0016607;GO:0030017;GO:0030578;GO:0032183;GO:0033120;GO:0043392;GO:0045948;GO:0071260;GO:0097504
CALHM4	Q5JW98	Calcium homeostasis modulator protein 4	GO:0006811;GO:0005887
GNAS	Q5JWF2	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GO:0001894;GO:0001958;GO:0005515;GO:0005525;GO:0005829;GO:0006112;GO:0006306;GO:0007189;GO:0010856;GO:0016020;GO:0016324;GO:0030425;GO:0035116;GO:0035264;GO:0040032;GO:0042493;GO:0043085;GO:0043588;GO:0045669;GO:0045672;GO:0046872;GO:0048589;GO:0048701;GO:0051216;GO:0060348;GO:0070062;GO:0070527;GO:0071514;GO:0120162;GO:2000828;GO:0031698;GO:0003924;GO:0031852;GO:0007191;GO:0035255;GO:0031683;GO:0051430;GO:0001664;GO:0007188;GO:0005159;GO:0005834;GO:0031748
DOP1A	Q5JWR5	Protein dopey-1	GO:0000139;GO:0005829;GO:0006895;GO:0015031;GO:0005768;GO:0005802
FAM209B	Q5JX69	Protein FAM209B	GO:0005634;GO:0016021
FAM209A	Q5JX71	Protein FAM209A	GO:0003674;GO:0005634;GO:0008150;GO:0016021;GO:0070062
SIRPB2	Q5JXA9	Signal-regulatory protein beta-2	GO:0016021;GO:0005886
UBE2NL	Q5JXB2	Putative ubiquitin-conjugating enzyme E2 N-like	GO:0070062;GO:0006301;GO:0061631;GO:0005634;GO:0070534
MIIP	Q5JXC2	Migration and invasion-inhibitory protein	GO:0005515;GO:0010972;GO:0030336
METTL24	Q5JXM2	Methyltransferase-like protein 24	GO:0005576;GO:0008168;GO:0032259
GLRA4	Q5JXX5	Glycine receptor subunit alpha-4	GO:0004888;GO:0022824;GO:0030054;GO:0030425;GO:0034707;GO:0043204;GO:0060079;GO:0098690;GO:0099060;GO:0043200;GO:0007218;GO:0060012;GO:0016934;GO:0005230;GO:1902476;GO:0034220;GO:0016594;GO:0043005;GO:0050877;GO:0007165;GO:0045202;GO:0005887;GO:0005254;GO:0007268;GO:0042391
TMEM31	Q5JXX7	Transmembrane protein 31	GO:0005515;GO:0016021
GPRASP1	Q5JY77	G-protein coupled receptor-associated sorting protein 1	GO:0005515;GO:0005829;GO:0008333;GO:1990172
EPHA10	Q5JZY3	Ephrin type-A receptor 10	GO:0005515;GO:0005524;GO:0005576;GO:0005886;GO:0008150;GO:0018108;GO:0048013;GO:0007411;GO:0005005;GO:0043005;GO:0004714;GO:0043235;GO:0007169;GO:0005887
CLLU1	Q5K131	Chronic lymphocytic leukemia up-regulated protein 1	GO:0005737
PRSS36	Q5K4E3	Polyserase-2	GO:0004252;GO:0005576;GO:0005737;GO:0006508;GO:0008236
SLC27A3	Q5K4L6	Solute carrier family 27 member 3	GO:0001676;GO:0005524;GO:0005783;GO:0015909;GO:0016020;GO:0016021;GO:0031957;GO:0031966;GO:0005739;GO:0005324;GO:0004467
SAMD9	Q5K651	Sterile alpha motif domain-containing protein 9	GO:0005515;GO:0005737;GO:0005829;GO:0034058;GO:0043231
DGKK	Q5KSL6	Diacylglycerol kinase kappa	GO:0003951;GO:0004143;GO:0005524;GO:0005737;GO:0005886;GO:0006979;GO:0007205;GO:0030168;GO:0035556;GO:0046339;GO:0046872;GO:0046834;GO:0046486
COLEC12	Q5KU26	Collectin-12	GO:0005044;GO:0005534;GO:0005581;GO:0005886;GO:0006898;GO:0006910;GO:0006952;GO:0008329;GO:0009756;GO:0016021;GO:0030169;GO:0030666;GO:0034138;GO:0045087;GO:0046872;GO:0050776;GO:0051260;GO:0060355;GO:0071360;GO:0031012;GO:0005615
SPECC1	Q5M775	Cytospin-B	GO:0005634;GO:0016020;GO:0031941;GO:0030036;GO:0005815
RNFT1	Q5M7Z0	E3 ubiquitin-protein ligase RNFT1	GO:0005783;GO:0005789;GO:0016021;GO:0043130;GO:0046872;GO:0051865;GO:0061630;GO:1904294
SLC35D3	Q5M8T2	Solute carrier family 35 member D3	GO:0005769;GO:0005783;GO:0008643;GO:0016021;GO:0055085;GO:0070863;GO:0097009;GO:0015297;GO:0022857;GO:0005794
NKAPL	Q5M9Q1	NKAP-like protein	GO:0003682;GO:0005634;GO:0007219;GO:0007283;GO:0030154;GO:0045892
CDKL4	Q5MAI5	Cyclin-dependent kinase-like 4	GO:0005524;GO:0005737;GO:0051726;GO:0006468;GO:0005634;GO:0004693
ZNF569	Q5MCW4	Zinc finger protein 569	GO:0000981;GO:0003677;GO:0005515;GO:0005634;GO:0006357;GO:0046872
PPP4R3B	Q5MIZ7	Serine/threonine-protein phosphatase 4 regulatory subunit 3B	GO:0005654;GO:0005737;GO:0005813;GO:0006470;GO:0016607;GO:0019216;GO:0030289;GO:0045722
SPDYC	Q5MJ68	Speedy protein C	GO:0005634;GO:0005737;GO:0007049;GO:0019901
SPDYA	Q5MJ70	Speedy protein A	GO:0000082;GO:0005634;GO:0005654;GO:0006974;GO:0007140;GO:0007275;GO:0008284;GO:0019901;GO:0030295;GO:0032147;GO:0045737;GO:0045860
WDR45B	Q5MNZ6	WD repeat domain phosphoinositide-interacting protein 3	GO:0000045;GO:0000407;GO:0005515;GO:0005764;GO:0009267;GO:0032266;GO:0062078;GO:0080025;GO:0034497;GO:0006497;GO:0005829;GO:0019898;GO:0034045;GO:0000422
WIPI1	Q5MNZ9	WD repeat domain phosphoinositide-interacting protein 1	GO:0000045;GO:0000139;GO:0000407;GO:0000421;GO:0005102;GO:0005515;GO:0005737;GO:0005802;GO:0005829;GO:0005856;GO:0006914;GO:0009267;GO:0010008;GO:0016236;GO:0030136;GO:0030331;GO:0032266;GO:0034045;GO:0036498;GO:0048203;GO:0050681;GO:0080025;GO:0006497;GO:0019898;GO:0000422;GO:0034497
ENTPD8	Q5MY95	Ectonucleoside triphosphate diphosphohydrolase 8	GO:0005524;GO:0005886;GO:0009124;GO:0009133;GO:0016021;GO:0017110;GO:0017111;GO:0034656;GO:0046872;GO:0102485;GO:0102486;GO:0102487;GO:0102488;GO:0102489;GO:0102490;GO:0102491
EOGT	Q5NDL2	EGF domain-specific O-linked N-acetylglucosamine transferase	GO:0005788;GO:0006493;GO:0016262
FFAR4	Q5NUL3	Free fatty acid receptor 4	GO:0005504;GO:0005886;GO:0007186;GO:0010827;GO:0030139;GO:0043066;GO:0045444;GO:0050710;GO:0050728;GO:0050912;GO:0070374;GO:0120162;GO:0008527;GO:0046879;GO:0005887;GO:0004930
SAMD4B	Q5PRF9	Protein Smaug homolog 2	GO:0003723;GO:0005634;GO:0005829;GO:0043488;GO:0017148;GO:0003729;GO:0030371;GO:0000932;GO:0000289
BRMS1L	Q5PSV4	Breast cancer metastasis-suppressor 1-like protein	GO:0005515;GO:0040008;GO:0042826;GO:0016575;GO:0004407;GO:0000122;GO:0070822
SLC10A5	Q5PT55	Sodium/bile acid cotransporter 5	GO:0006814;GO:0015293;GO:0016021;GO:0055085
PAPPA-AS1	Q5QFB9	Protein PAPPAS	GO:0003674;GO:0005575;GO:0005789;GO:0008150;GO:0016021
NEXMIF	Q5QGS0	Neurite extension and migration factor	GO:0005737;GO:2001223;GO:0001953;GO:0005634;GO:0033629;GO:2000048
RTP2	Q5QGT7	Receptor-transporting protein 2	GO:0005515;GO:0005886;GO:0009986;GO:0016021;GO:0031849;GO:0051205;GO:0001580;GO:0006612
CLEC12A	Q5QGZ9	C-type lectin domain family 12 member A	GO:0005886;GO:0016021;GO:0030246;GO:0035579;GO:0043312;GO:0070821
TCHHL1	Q5QJ38	Trichohyalin-like protein 1	GO:0046914
TBCEL	Q5QJ74	Tubulin-specific chaperone cofactor E-like protein	GO:0005515;GO:0005856;GO:0007023;GO:0000226;GO:0043014;GO:0005737;GO:0007021
DNTTIP2	Q5QJE6	Deoxynucleotidyltransferase terminal-interacting protein 2	GO:0003723;GO:0005634;GO:0005730
ACER2	Q5QJU3	Alkaline ceramidase 2	GO:0000139;GO:0001953;GO:0005794;GO:0006919;GO:0006974;GO:0008284;GO:0010506;GO:0010942;GO:0017040;GO:0030148;GO:0030173;GO:0030330;GO:0032526;GO:0033629;GO:0035690;GO:0042981;GO:0046512;GO:0046514;GO:0046872;GO:0071633;GO:0090285;GO:0102121
HIST2H2BF	Q5QNW6	Histone H2B type 2-F	GO:0000786;GO:0003674;GO:0005634;GO:0005654;GO:0005829;GO:0046982;GO:0070062;GO:0006334;GO:0003677
DCAF10	Q5QP82	DDB1- and CUL4-associated factor 10	GO:0005654;GO:0016567;GO:0043687;GO:0080008
RABGAP1L	Q5R372	Rab GTPase-activating protein 1-like	GO:0005096;GO:0005634;GO:0005769;GO:0005794;GO:0006897;GO:0017137;GO:0032880;GO:0090630;GO:0006886
PLA2G2C	Q5R387	Putative inactive group IIC secretory phospholipase A2	GO:0005576;GO:0016042;GO:0050482;GO:0047498;GO:0006644;GO:0004623;GO:0005509;GO:0005543
ELFN2	Q5R3F8	Protein phosphatase 1 regulatory subunit 29	GO:0004864;GO:0005615;GO:0010923;GO:0016021;GO:0032515;GO:0031012
TTC38	Q5R3I4	Tetratricopeptide repeat protein 38	GO:0070062
CALHM6	Q5R3K3	Calcium homeostasis modulator protein 6	GO:0006811;GO:0005887
FAM74A1	Q5RGS3	Protein FAM74A1	GO:0005515;GO:0016021
COX20	Q5RI15	Cytochrome c oxidase assembly protein COX20, mitochondrial	GO:0005515;GO:0005739;GO:0005743;GO:0016021;GO:0033617
CBWD5	Q5RIA9	COBW domain-containing protein 5	GO:0005524
EXOSC6	Q5RKV6	Exosome complex component MTR3	GO:0000178;GO:0003723;GO:0005654;GO:0005829;GO:0006364;GO:0043488;GO:0043928;GO:0045006;GO:0045190;GO:0045830;GO:0090503;GO:0004532;GO:0005730;GO:0000177;GO:0034475;GO:0071051;GO:0016075;GO:0071028;GO:0034427;GO:0000176
RBM48	Q5RL73	RNA-binding protein 48	GO:0003723;GO:0005654
LRRK2	Q5S007	Leucine-rich repeat serine/threonine-protein kinase 2	GO:0000149;GO:0000165;GO:0000186;GO:0000187;GO:0000287;GO:0001933;GO:0001934;GO:0003779;GO:0003924;GO:0004672;GO:0004674;GO:0004708;GO:0005096;GO:0005515;GO:0005524;GO:0005525;GO:0005615;GO:0005634;GO:0005737;GO:0005739;GO:0005741;GO:0005743;GO:0005759;GO:0005764;GO:0005768;GO:0005783;GO:0005794;GO:0005798;GO:0005802;GO:0005829;GO:0005886;GO:0005902;GO:0006468;GO:0006606;GO:0006897;GO:0006914;GO:0006979;GO:0007005;GO:0007029;GO:0007030;GO:0007040;GO:0007283;GO:0007528;GO:0008017;GO:0008340;GO:0009267;GO:0010506;GO:0010508;GO:0010738;GO:0010955;GO:0010977;GO:0014041;GO:0015631;GO:0016234;GO:0016242;GO:0016301;GO:0016310;GO:0017048;GO:0017075;GO:0018105;GO:0018107;GO:0019722;GO:0021756;GO:0021772;GO:0022028;GO:0030054;GO:0030159;GO:0030276;GO:0030424;GO:0030425;GO:0030426;GO:0030672;GO:0031398;GO:0031410;GO:0031647;GO:0031966;GO:0032091;GO:0032092;GO:0032436;GO:0032473;GO:0032839;GO:0034211;GO:0034260;GO:0034599;GO:0034613;GO:0035556;GO:0035564;GO:0035640;GO:0035641;GO:0035751;GO:0036479;GO:0039706;GO:0040012;GO:0042391;GO:0042802;GO:0042803;GO:0043005;GO:0043025;GO:0043068;GO:0043195;GO:0043204;GO:0043231;GO:0043406;GO:0043547;GO:0044325;GO:0044753;GO:0044754;GO:0046039;GO:0046777;GO:0048312;GO:0048812;GO:0051018;GO:0051646;GO:0051770;GO:0051900;GO:0051966;GO:0060070;GO:0060079;GO:0060159;GO:0060161;GO:0060628;GO:0060828;GO:0061001;GO:0070062;GO:0070585;GO:0070971;GO:0070973;GO:0070997;GO:0071287;GO:0072593;GO:0090140;GO:0090263;GO:0090394;GO:0097487;GO:0098794;GO:0098978;GO:0099400;GO:0099523;GO:0140058;GO:1900244;GO:1901214;GO:1901215;GO:1901727;GO:1902236;GO:1902499;GO:1902692;GO:1902803;GO:1902823;GO:1902902;GO:1903125;GO:1903206;GO:1903215;GO:1903217;GO:1903351;GO:1903980;GO:1904469;GO:1904713;GO:1904887;GO:1905279;GO:1905289;GO:1990904;GO:1990909;GO:2000172;GO:2000300;GO:0045121
PPM1L	Q5SGD2	Protein phosphatase 1L	GO:0000165;GO:0004722;GO:0005789;GO:0006470;GO:0016021;GO:0030148;GO:0046872;GO:0070062;GO:0007178;GO:0004724
TMEM201	Q5SNT2	Transmembrane protein 201	GO:0000922;GO:0005639;GO:0005737;GO:0010761;GO:0031965;GO:0030473;GO:0005521;GO:0051015
LY6G6F	Q5SQ64	Lymphocyte antigen 6 complex locus protein G6f	GO:0002576;GO:0005886;GO:0016021;GO:0031092
ATAT1	Q5SQI0	Alpha-tubulin N-acetyltransferase 1	GO:0004468;GO:0005794;GO:0005829;GO:0005874;GO:0005905;GO:0005925;GO:0007283;GO:0019799;GO:0021542;GO:0030424;GO:0045598;GO:0048666;GO:0050662;GO:0060271;GO:0070507;GO:0071929;GO:0072686;GO:0097427;GO:1900227
SNAP47	Q5SQN1	Synaptosomal-associated protein 47	GO:0005515;GO:0014069;GO:0030425;GO:0030672;GO:0043025;GO:0048471;GO:0060291;GO:0098686;GO:0098967;GO:0098978;GO:0031083;GO:0005484;GO:0031201;GO:0016082;GO:0006906;GO:0006887;GO:0005886;GO:0031629;GO:0019905
VAX1	Q5SQQ9	Ventral anterior homeobox 1	GO:0000122;GO:0000981;GO:0001162;GO:0001227;GO:0001764;GO:0005634;GO:0007406;GO:0007411;GO:0007420;GO:0031490;GO:0035914;GO:0043010;GO:0060021;GO:0030182;GO:0006357;GO:0000978;GO:0007417
MFSD14B	Q5SR56	Hippocampus abundant transcript-like protein 1	GO:0016021;GO:0055085
WASHC2D	Q5SRD0	WASH complex subunit 2D	GO:0005769;GO:0005829;GO:0042147;GO:0071203
TIMM23B	Q5SRD1	Putative mitochondrial import inner membrane translocase subunit Tim23B	GO:0003674;GO:0005575;GO:0008150;GO:0015450;GO:0005744;GO:0008320;GO:0030150;GO:0031305
NUP188	Q5SRE5	Nucleoporin NUP188 homolog	GO:0005635;GO:0006110;GO:0006406;GO:0006409;GO:0016020;GO:0016032;GO:0016925;GO:0019083;GO:0043657;GO:0060964;GO:0075733;GO:1900034;GO:0006606;GO:0017056;GO:0044611
PHYHD1	Q5SRE7	Phytanoyl-CoA dioxygenase domain-containing protein 1	GO:0005515;GO:0046872;GO:0051213;GO:0055114
TTC39A	Q5SRH9	Tetratricopeptide repeat protein 39A	GO:0003674;GO:0005575;GO:0008150
MANEA	Q5SRI9	Glycoprotein endo-alpha-1,2-mannosidase	GO:0000139;GO:0004569;GO:0005794;GO:0016021;GO:0004559
TSBP1	Q5SRN2	Testis-expressed basic protein 1	GO:0005634;GO:0016021
LY6G5C	Q5SRR4	Lymphocyte antigen 6 complex locus protein G5c	GO:0005576;GO:0032991;GO:0042802;GO:0051260;GO:0009897
HP1BP3	Q5SSJ5	Heterochromatin protein 1-binding protein 3	GO:0000786;GO:0003677;GO:0005515;GO:0005634;GO:0005694;GO:0006334;GO:0006355;GO:0016607;GO:0031491;GO:0042127;GO:0070828;GO:0071456;GO:0097298
SMIM40	Q5STR5	Small integral membrane protein 40	GO:0016021
TMEM240	Q5SV17	Transmembrane protein 240	GO:0016021;GO:0030054;GO:0097060
PERM1	Q5SV97	PGC-1 and ERR-induced regulator in muscle protein 1	GO:0005634;GO:0005737;GO:0006355;GO:0014850
ZBTB41	Q5SVQ8	Zinc finger and BTB domain-containing protein 41	GO:0000981;GO:0003677;GO:0005634;GO:0006357;GO:0046872
SLC25A30	Q5SVS4	Kidney mitochondrial carrier protein 1	GO:0003674;GO:0005515;GO:0005739;GO:0005743;GO:0006839;GO:0008150;GO:0016021;GO:1902356;GO:1902358;GO:0015117;GO:0015297;GO:0015729;GO:0015116;GO:0071422;GO:0015141;GO:0071423;GO:0015131;GO:0008272;GO:0035435;GO:0015140;GO:0015709
ZMYM1	Q5SVZ6	Zinc finger MYM-type protein 1	GO:0008270;GO:0046983;GO:0006357;GO:0022604;GO:0005634;GO:0000981
DACT2	Q5SW24	Dapper homolog 2	GO:0002244;GO:0003382;GO:0005080;GO:0007162;GO:0008013;GO:0008134;GO:0043588;GO:0051018;GO:0070097;GO:0072061;GO:1900108;GO:0030111;GO:0005737
CEP170	Q5SW79	Centrosomal protein of 170 kDa	GO:0005515;GO:0005813;GO:0005814;GO:0005819;GO:0005829;GO:0005874;GO:0005886;GO:0120103
LDLRAP1	Q5SW96	Low density lipoprotein receptor adapter protein 1	GO:0001540;GO:0001784;GO:0005515;GO:0005546;GO:0005769;GO:0005829;GO:0005883;GO:0005886;GO:0006898;GO:0008203;GO:0009898;GO:0009925;GO:0009967;GO:0030159;GO:0030276;GO:0030301;GO:0030424;GO:0030665;GO:0031623;GO:0034383;GO:0035591;GO:0035612;GO:0035615;GO:0035650;GO:0042632;GO:0042982;GO:0043393;GO:0048260;GO:0050750;GO:0055037;GO:0061024;GO:0071345;GO:0090118;GO:0090205;GO:1903076;GO:1904707;GO:1905581;GO:1905602
PPP1R15B	Q5SWA1	Protein phosphatase 1 regulatory subunit 15B	GO:0000164;GO:0001933;GO:0005515;GO:0006983;GO:0042542;GO:0070262;GO:1903898;GO:1903912;GO:0005737;GO:0019888;GO:0032516;GO:0005783;GO:0034976
TMEM69	Q5SWH9	Transmembrane protein 69	GO:0016021
PRAMEF14	Q5SWL7	PRAME family member 14	GO:0008284;GO:0043066;GO:0045596;GO:0045892;GO:0005737
PRAMEF19	Q5SWL8	PRAME family member 19	GO:0008284;GO:0043066;GO:0045596;GO:0045892;GO:0005737
ODR4	Q5SWX8	Protein odr-4 homolog	GO:0016021;GO:0008104
PLEKHS1	Q5SXH7	Pleckstrin homology domain-containing family S member 1	GO:0005515
ZNF678	Q5SXM1	Zinc finger protein 678	GO:0000981;GO:0003677;GO:0005634;GO:0006357;GO:0046872
SNAPC4	Q5SXM2	snRNA-activating protein complex subunit 4	GO:0000981;GO:0003677;GO:0003700;GO:0005634;GO:0005654;GO:0006357;GO:0006366;GO:0006383;GO:0009301;GO:0019185;GO:0042795;GO:0042796
DNLZ	Q5SXM8	DNL-type zinc finger protein	GO:0005654;GO:0005739;GO:0008270;GO:0051087;GO:0050821;GO:0006457;GO:0030150
NOL9	Q5SY16	Polynucleotide 5'-hydroxyl-kinase NOL9	GO:0000460;GO:0003723;GO:0005515;GO:0005524;GO:0005654;GO:0005730;GO:0006364;GO:0016020;GO:0016310;GO:0045111;GO:0051731;GO:0000448
S100A7L2	Q5SY68	Protein S100-A7-like 2	GO:0005509;GO:0005615;GO:0046914
CATSPERE	Q5SY80	Cation channel sperm-associated protein subunit epsilon	GO:0036128;GO:0097228
FRMPD1	Q5SYB0	FERM and PDZ domain-containing protein 1	GO:0005515;GO:0005829;GO:0005856;GO:0005886;GO:0008277;GO:0032991;GO:0090150;GO:0005938
CLVS2	Q5SYC1	Clavesin-2	GO:0005768;GO:0005802;GO:0007040;GO:0030136;GO:0031901;GO:0032588;GO:0080025
GLYATL3	Q5SZD4	Glycine N-acyltransferase-like protein 3	GO:0005739;GO:0047961
LDLRAD2	Q5SZI1	Low-density lipoprotein receptor class A domain-containing protein 2	GO:0016021
BEND6	Q5SZJ8	BEN domain-containing protein 6	GO:0003682;GO:0003714;GO:0005634;GO:0045666;GO:0045746;GO:1903507
FREM2	Q5SZK8	FRAS1-related extracellular matrix protein 2	GO:0001654;GO:0002009;GO:0005604;GO:0005886;GO:0007154;GO:0007155;GO:0007507;GO:0016021;GO:0042733;GO:0046872;GO:0048839;GO:0070062
CEP85L	Q5SZL2	Centrosomal protein of 85 kDa-like	GO:0005737;GO:0005813
CELF3	Q5SZQ8	CUGBP Elav-like family member 3	GO:0000381;GO:0003723;GO:0005634;GO:0005737;GO:0007283;GO:0008380;GO:0016604;GO:0030317;GO:0030575;GO:0036002;GO:0048026;GO:0097322;GO:0098781;GO:1990904;GO:0006376;GO:0003729
SZT2	Q5T011	KICSTOR complex protein SZT2	GO:0003674;GO:0005515;GO:0005765;GO:0005777;GO:0007417;GO:0009791;GO:0021540;GO:0034198;GO:0042149;GO:0043473;GO:0061462;GO:0140007;GO:1901668;GO:1904262;GO:0061700;GO:1990130
HYI	Q5T013	Putative hydroxypyruvate isomerase	GO:0003674;GO:0005515;GO:0005575;GO:0008150;GO:0008903;GO:0016857
ZNF362	Q5T0B9	Zinc finger protein 362	GO:0000981;GO:0003677;GO:0005634;GO:0006357;GO:0046872
TPRG1L	Q5T0D9	Tumor protein p63-regulated gene 1-like protein	GO:0003674;GO:0008021;GO:0008150;GO:0030054;GO:0030672;GO:0042802;GO:0044305;GO:0051966;GO:0070062;GO:0005737
CC2D1B	Q5T0F9	Coiled-coil and C2 domain-containing protein 1B	GO:0000978;GO:0001227;GO:0005515;GO:0005654;GO:0043231;GO:0005634;GO:0000122
TEX35	Q5T0J7	Testis-expressed protein 35	GO:0005634;GO:0015630
SPATA46	Q5T0L3	Spermatogenesis-associated protein 46	GO:0005515;GO:0007283;GO:0007342;GO:0030154;GO:0031965
CFAP70	Q5T0N1	Cilia- and flagella-associated protein 70	GO:0003674;GO:0005929;GO:0008150;GO:0070062
