	Description	UniProtID
n-TGgcc6	nuclear encoded tRNA glycine 6 (anticodon GCC)	MGI:4413875
n-TGgcc7	nuclear encoded tRNA glycine 7 (anticodon GCC)	MGI:4413876
n-TGgcc8	nuclear encoded tRNA glycine 8 (anticodon GCC)	MGI:4413877
n-TGgcc9	nuclear encoded tRNA glycine 9 (anticodon GCC)	MGI:4413878
n-TGtcc1	nuclear encoded tRNA glycine 1 (anticodon TCC)	MGI:4413884
n-TGtcc2	nuclear encoded tRNA glycine 2 (anticodon TCC)	MGI:4413885
n-TGtcc3	nuclear encoded tRNA glycine 3 (anticodon TCC)	MGI:4413886
n-TGtcc4	nuclear encoded tRNA glycine 4 (anticodon TCC)	MGI:4413887
n-TGtcc5	nuclear encoded tRNA glycine 5 (anticodon TCC)	MGI:4413888
n-TGtcc6	nuclear encoded tRNA glycine 6 (anticodon TCC)	MGI:4413889
n-TGtcc7	nuclear encoded tRNA glycine 7 (anticodon TCC)	MGI:4413890
n-THatg1	nuclear encoded tRNA histidine 1 (anticodon ATG)	MGI:4413891
n-THgtg1	nuclear encoded tRNA histidine 1 (anticodon GTG)	MGI:4413901
n-THgtg10	nuclear encoded tRNA histidine 10 (anticodon GTG)	MGI:4413900
n-THgtg2	nuclear encoded tRNA histidine 2 (anticodon GTG)	MGI:4413892
n-THgtg3	nuclear encoded tRNA histidine 3 (anticodon GTG)	MGI:4413893
n-THgtg4	nuclear encoded tRNA histidine 4 (anticodon GTG)	MGI:4413894
n-THgtg5	nuclear encoded tRNA histidine 5 (anticodon GTG)	MGI:4413895
n-THgtg6	nuclear encoded tRNA histidine 6 (anticodon GTG)	MGI:4413896
n-THgtg7	nuclear encoded tRNA histidine 7 (anticodon GTG)	MGI:4413897
n-THgtg8	nuclear encoded tRNA histidine 8 (anticodon GTG)	MGI:4413898
n-THgtg9	nuclear encoded tRNA histidine 9 (anticodon GTG)	MGI:4413899
n-TIaat1	nuclear encoded tRNA isoleucine 1 (anticodon AAT)	MGI:4413902
n-TIaat10	nuclear encoded tRNA isoleucine 10 (anticodon AAT)	MGI:4413911
n-TIaat11	nuclear encoded tRNA isoleucine 11 (anticodon AAT)	MGI:4413912
n-TIaat12	nuclear encoded tRNA isoleucine 12 (anticodon GAT)	MGI:4413913
n-TIaat13	nuclear encoded tRNA isoleucine 13 (anticodon TAT)	MGI:4413914
n-TIaat15	nuclear encoded tRNA isoleucine 15 (anticodon TAT)	MGI:4413916
n-TIaat16	nuclear encoded tRNA isoleucine 16 (anticodon TAT)	MGI:4413917
n-TIaat17	nuclear encoded tRNA isoleucine 17 (anticodon TAT)	MGI:4413918
n-TIaat2	nuclear encoded tRNA isoleucine 2 (anticodon AAT)	MGI:4413903
n-TIaat3	nuclear encoded tRNA isoleucine 3 (anticodon AAT)	MGI:4413904
n-TIaat4	nuclear encoded tRNA isoleucine 4 (anticodon AAT)	MGI:4413905
n-TIaat5	nuclear encoded tRNA isoleucine 5 (anticodon AAT)	MGI:4413906
n-TIaat6	nuclear encoded tRNA isoleucine 6 (anticodon AAT)	MGI:4413907
n-TIaat7	nuclear encoded tRNA isoleucine 7 (anticodon AAT)	MGI:4413908
n-TIaat8	nuclear encoded tRNA isoleucine 8 (anticodon AAT)	MGI:4413909
n-TIaat9	nuclear encoded tRNA isoleucine 9 (anticodon AAT)	MGI:4413910
n-TItat14	nuclear encoded tRNA isoleucine 14 (anticodon TAT)	MGI:4413915
n-TKctt1	nuclear encoded tRNA lysine 1 (anticodon CTT)	MGI:4413948
n-TKctt10	nuclear encoded tRNA lysine 10 (anticodon CTT)	MGI:4413957
n-TKctt11	nuclear encoded tRNA lysine 11 (anticodon CTT)	MGI:4413958
n-TKctt12	nuclear encoded tRNA lysine 12 (anticodon CTT)	MGI:4413959
n-TKctt13	nuclear encoded tRNA lysine 13 (anticodon CTT)	MGI:4413960
n-TKctt14	nuclear encoded tRNA lysine 14 (anticodon CTT)	MGI:4413961
n-TKctt15	nuclear encoded tRNA lysine 15 (anticodon CTT)	MGI:4413962
n-TKctt16	nuclear encoded tRNA lysine 16 (anticodon CTT)	MGI:4413963
n-TKctt17	nuclear encoded tRNA lysine 17 (anticodon CTT)	MGI:4413964
n-TKctt18	nuclear encoded tRNA lysine 18 (anticodon CTT)	MGI:4413965
n-TKctt19	nuclear encoded tRNA lysine 19 (anticodon CTT)	MGI:4413966
n-TKctt2	nuclear encoded tRNA lysine 2 (anticodon CTT)	MGI:4413949
n-TKctt20	nuclear encoded tRNA lysine 20 (anticodon TTT)	MGI:4413967
n-TKctt21	nuclear encoded tRNA lysine 21 (anticodon TTT)	MGI:4413968
n-TKctt24	nuclear encoded tRNA lysine 24 (anticodon TTT)	MGI:4413971
n-TKctt25	nuclear encoded tRNA lysine 25 (anticodon TTT)	MGI:4413972
n-TKctt26	nuclear encoded tRNA lysine 26 (anticodon TTT)	MGI:4413973
n-TKctt27	nuclear encoded tRNA lysine 27 (anticodon TTT)	MGI:4413974
n-TKctt28	nuclear encoded tRNA lysine 28 (anticodon TTT)	MGI:4413975
n-TKctt29	nuclear encoded tRNA lysine 29 (anticodon TTT)	MGI:4413976
n-TKctt3	nuclear encoded tRNA lysine 3 (anticodon CTT)	MGI:4413950
n-TKctt30	nuclear encoded tRNA lysine 30 (anticodon TTT)	MGI:4413977
n-TKctt4	nuclear encoded tRNA lysine 4 (anticodon CTT)	MGI:4413951
n-TKctt5	nuclear encoded tRNA lysine 5 (anticodon CTT)	MGI:4413952
n-TKctt6	nuclear encoded tRNA lysine 6 (anticodon CTT)	MGI:4413953
n-TKctt7	nuclear encoded tRNA lysine 7 (anticodon CTT)	MGI:4413954
n-TKctt8	nuclear encoded tRNA lysine 8 (anticodon CTT)	MGI:4413955
n-TKctt9	nuclear encoded tRNA lysine 9 (anticodon CTT)	MGI:4413956
n-TKttt22	nuclear encoded tRNA lysine 22 (anticodon TTT)	MGI:4413969
n-TKttt23	nuclear encoded tRNA lysine 23 (anticodon TTT)	MGI:4413970
n-TLaag1	nuclear encoded tRNA leucine 1 (anticodon AAG)	MGI:4413919
n-TLaag2	nuclear encoded tRNA leucine 2 (anticodon AAG)	MGI:4413920
n-TLaag3	nuclear encoded tRNA leucine 3 (anticodon AAG)	MGI:4413921
n-TLaag4	nuclear encoded tRNA leucine 4 (anticodon AAG)	MGI:4413922
n-TLaag5	nuclear encoded tRNA leucine 5 (anticodon AAG)	MGI:4413923
n-TLaag6	nuclear encoded tRNA leucine 6 (anticodon AAG)	MGI:4413924
n-TLaag7	nuclear encoded tRNA leucine 7 (anticodon AAG)	MGI:4413925
n-TLaag8	nuclear encoded tRNA leucine 8 (anticodon AAG)	MGI:4413926
n-TLcaa1	nuclear encoded tRNA leucine 1 (anticodon CAA)	MGI:4413928
n-TLcaa2	nuclear encoded tRNA leucine 2 (anticodon CAA)	MGI:4413929
n-TLcaa3	nuclear encoded tRNA leucine 3 (anticodon CAA)	MGI:4413930
n-TLcaa4	nuclear encoded tRNA leucine 4 (anticodon CAA)	MGI:4413927
n-TLcag1	nuclear encoded tRNA leucine 1 (anticodon CAG)	MGI:4413931
n-TLcag10	nuclear encoded tRNA leucine 10 (anticodon CAG)	MGI:4413940
n-TLcag2	nuclear encoded tRNA leucine 2 (anticodon CAG)	MGI:4413932
n-TLcag3	nuclear encoded tRNA leucine 3 (anticodon CAG)	MGI:4413933
n-TLcag4	nuclear encoded tRNA leucine 4 (anticodon CAG)	MGI:4413934
n-TLcag5	nuclear encoded tRNA leucine 5 (anticodon CAG)	MGI:4413935
n-TLcag6	nuclear encoded tRNA leucine 6 (anticodon CAG)	MGI:4413936
n-TLcag7	nuclear encoded tRNA leucine 7 (anticodon CAG)	MGI:4413937
n-TLcag8	nuclear encoded tRNA leucine 8 (anticodon CAG)	MGI:4413938
n-TLcag9	nuclear encoded tRNA leucine 9 (anticodon CAG)	MGI:4413939
n-TLtaa1	nuclear encoded tRNA leucine 1 (anticodon TAA)	MGI:4413941
n-TLtaa2	nuclear encoded tRNA leucine 2 (anticodon TAA)	MGI:4413942
n-TLtaa3	nuclear encoded tRNA leucine 3 (anticodon TAA)	MGI:4413943
n-TLtaa4	nuclear encoded tRNA leucine 4 (anticodon TAA)	MGI:4413944
n-TLtag1	nuclear encoded tRNA leucine 1 (anticodon TAG)	MGI:4413945
n-TLtag2	nuclear encoded tRNA leucine 2 (anticodon TAG)	MGI:4413946
n-TLtag3	nuclear encoded tRNA leucine 3 (anticodon TAG)	MGI:4413947
n-TMcat1	nuclear encoded tRNA methionine 1 (anticodon CAT)	MGI:4413978
n-TMcat10	nuclear encoded tRNA methionine 10 (anticodon CAT)	MGI:4413987
n-TMcat11	nuclear encoded tRNA methionine 11 (anticodon CAT)	MGI:4413988
n-TMcat12	nuclear encoded tRNA methionine 12 (anticodon CAT)	MGI:4413989
n-TMcat13	nuclear encoded tRNA methionine 13 (anticodon CAT)	MGI:4413990
n-TMcat14	nuclear encoded tRNA methionine 14 (anticodon CAT)	MGI:4413991
n-TMcat15	nuclear encoded tRNA methionine 15 (anticodon CAT)	MGI:4413992
n-TMcat16	nuclear encoded tRNA methionine 16 (anticodon CAT)	MGI:4413993
n-TMcat17	nuclear encoded tRNA methionine 17 (anticodon CAT)	MGI:4413994
n-TMcat18	nuclear encoded tRNA methionine 18 (anticodon CAT)	MGI:4413995
n-TMcat2	nuclear encoded tRNA methionine 2 (anticodon CAT)	MGI:4413979
n-TMcat3	nuclear encoded tRNA methionine 3 (anticodon CAT)	MGI:4413980
n-TMcat4	nuclear encoded tRNA methionine 4 (anticodon CAT)	MGI:4413981
n-TMcat5	nuclear encoded tRNA methionine 5 (anticodon CAT)	MGI:4413982
n-TMcat6	nuclear encoded tRNA methionine 6 (anticodon CAT)	MGI:4413983
n-TMcat7	nuclear encoded tRNA methionine 7 (anticodon CAT)	MGI:4413984
n-TMcat8	nuclear encoded tRNA methionine 8 (anticodon CAT)	MGI:4413985
n-TMcat9	nuclear encoded tRNA methionine 9 (anticodon CAT)	MGI:4413986
n-TNgtt1	nuclear encoded tRNA asparagine 1 (anticodon GTT)	MGI:4413738
n-TNgtt10	nuclear encoded tRNA asparagine 10 (anticodon GTT)	MGI:4413747
n-TNgtt11	nuclear encoded tRNA asparagine 11 (anticodon GTT)	MGI:4413748
n-TNgtt12	nuclear encoded tRNA asparagine 12 (anticodon GTT)	MGI:4413749
n-TNgtt13	nuclear encoded tRNA asparagine 13 (anticodon GTT)	MGI:4413750
n-TNgtt14	nuclear encoded tRNA asparagine 14 (anticodon GTT)	MGI:4413751
n-TNgtt2	nuclear encoded tRNA asparagine 2 (anticodon GTT)	MGI:4413739
n-TNgtt3	nuclear encoded tRNA asparagine 3 (anticodon GTT)	MGI:4413740
n-TNgtt4	nuclear encoded tRNA asparagine 4 (anticodon GTT)	MGI:4413741
n-TNgtt5	nuclear encoded tRNA asparagine 5 (anticodon GTT)	MGI:4413742
n-TNgtt6	nuclear encoded tRNA asparagine 6 (anticodon GTT)	MGI:4413743
n-TNgtt7	nuclear encoded tRNA asparagine 7 (anticodon GTT)	MGI:4413744
n-TNgtt8	nuclear encoded tRNA asparagine 8 (anticodon GTT)	MGI:4413745
n-TNgtt9	nuclear encoded tRNA asparagine 9 (anticodon GTT)	MGI:4413746
n-TPagg1	nuclear encoded tRNA proline 1 (anticodon AGG)	MGI:4414003
n-TPagg2	nuclear encoded tRNA proline 2 (anticodon AGG)	MGI:4414004
n-TPagg3	nuclear encoded tRNA proline 3 (anticodon AGG)	MGI:4414005
n-TPagg4	nuclear encoded tRNA proline 4 (anticodon AGG)	MGI:4414006
n-TPagg5	nuclear encoded tRNA proline 5 (anticodon AGG)	MGI:4414007
n-TPagg6	nuclear encoded tRNA proline 6 (anticodon AGG)	MGI:4414008
n-TPagg7	nuclear encoded tRNA proline 7 (anticodon AGG)	MGI:4414009
n-TPcgg1	nuclear encoded tRNA proline 1 (anticodon CGG)	MGI:4414012
n-TPcgg2	nuclear encoded tRNA proline 2 (anticodon CGG)	MGI:4414010
n-TPcgg3	nuclear encoded tRNA proline 3 (anticodon CGG)	MGI:4414011
n-TPtgg1	nuclear encoded tRNA proline 1 (anticodon TGG)	MGI:4414013
n-TPtgg2	nuclear encoded tRNA proline 2 (anticodon TGG)	MGI:4414014
n-TPtgg3	nuclear encoded tRNA proline 3 (anticodon TGG)	MGI:4414015
n-TPtgg4	nuclear encoded tRNA proline 4 (anticodon TGG)	MGI:4414016
n-TPtgg5	nuclear encoded tRNA proline 5 (anticodon TGG)	MGI:4414017
n-TPtgg6	nuclear encoded tRNA proline 6 (anticodon TGG)	MGI:4414018
n-TPtgg7	nuclear encoded tRNA proline 7 (anticodon TGG)	MGI:4414019
n-TPtgg8	nuclear encoded tRNA proline 8 (anticodon TGG)	MGI:4414020
n-TQctg1	nuclear encoded tRNA glutamine 1 (anticodon CTG)	MGI:4413825
n-TQctg10	nuclear encoded tRNA glutamine 10 (anticodon CTG)	MGI:4413834
n-TQctg2	nuclear encoded tRNA glutamine 2 (anticodon CTG)	MGI:4413826
n-TQctg3	nuclear encoded tRNA glutamine 3 (anticodon CTG)	MGI:4413827
n-TQctg4	nuclear encoded tRNA glutamine 4 (anticodon CTG)	MGI:4413828
n-TQctg5	nuclear encoded tRNA glutamine 5 (anticodon CTG)	MGI:4413829
n-TQctg6	nuclear encoded tRNA glutamine 6 (anticodon CTG)	MGI:4413830
n-TQctg7	nuclear encoded tRNA glutamine 7 (anticodon CTG)	MGI:4413831
n-TQctg8	nuclear encoded tRNA glutamine 8 (anticodon CTG)	MGI:4413832
n-TQctg9	nuclear encoded tRNA glutamine 9 (anticodon CTG)	MGI:4413833
n-TQttg1	nuclear encoded tRNA glutamine 1 (anticodon TTG)	MGI:4413835
n-TQttg2	nuclear encoded tRNA glutamine 2 (anticodon TTG)	MGI:4413836
n-TQttg3	nuclear encoded tRNA glutamine 3 (anticodon TTG)	MGI:4413837
n-TQttg4	nuclear encoded tRNA glutamine 4 (anticodon TTG)	MGI:4413838
n-TQttg5	nuclear encoded tRNA glutamine 5 (anticodon TTG)	MGI:4413839
n-TQttg6	nuclear encoded tRNA glutamine 6 (anticodon TTG)	MGI:4413840
n-TRacg1	nuclear encoded tRNA arginine 1 (anticodon ACG)	MGI:4413714
n-TRacg2	nuclear encoded tRNA arginine 2 (anticodon ACG)	MGI:4413715
n-TRacg3	nuclear encoded tRNA arginine 3 (anticodon ACG)	MGI:4413716
n-TRacg4	nuclear encoded tRNA arginine 4 (anticodon ACG)	MGI:4413717
n-TRacg5	nuclear encoded tRNA arginine 5 (anticodon ACG)	MGI:4413718
n-TRacg6	nuclear encoded tRNA arginine 6 (anticodon ACG)	MGI:4413719
n-TRccg1	nuclear encoded tRNA arginine 1 (anticodon CCG)	MGI:4413720
n-TRccg2	nuclear encoded tRNA arginine 2 (anticodon CCG)	MGI:4413721
n-TRccg3	nuclear encoded tRNA arginine 3 (anticodon CCG)	MGI:4413722
n-TRcct1	nuclear encoded tRNA arginine 1 (anticodon CCT)	MGI:4413723
n-TRcct2	nuclear encoded tRNA arginine 2 (anticodon CCT)	MGI:4413724
n-TRcct3	nuclear encoded tRNA arginine 3 (anticodon CCT)	MGI:4413725
n-TRcct4	nuclear encoded tRNA arginine 4 (anticodon CCT)	MGI:4413726
n-TRcct5	nuclear encoded tRNA arginine 5 (anticodon CCT)	MGI:4413727
n-TRtcg1	nuclear encoded tRNA arginine 1 (anticodon TCG)	MGI:4413728
n-TRtcg2	nuclear encoded tRNA arginine 2 (anticodon TCG)	MGI:4413729
n-TRtcg3	nuclear encoded tRNA arginine 3 (anticodon TCG)	MGI:4413730
n-TRtcg4	nuclear encoded tRNA arginine 4 (anticodon TCG)	MGI:4413731
n-TRtcg5	nuclear encoded tRNA arginine 5 (anticodon TCG)	MGI:4413732
n-TRtct1	nuclear encoded tRNA arginine 1 (anticodon TCT)	MGI:4413734
n-TRtct2	nuclear encoded tRNA arginine 2 (anticodon TCT)	MGI:4413735
n-TRtct3	nuclear encoded tRNA arginine 3 (anticodon TCT)	MGI:4413736
n-TRtct4	nuclear encoded tRNA arginine 4 (anticodon TCT)	MGI:4413737
n-TRtct5	nuclear encoded tRNA arginine 5 (anticodon TCT)	MGI:4413733
n-TSaga1	nuclear encoded tRNA serine 1 (anticodon AGA)	MGI:4414030
n-TSaga2	nuclear encoded tRNA serine 2 (anticodon AGA)	MGI:4414031
n-TSaga3	nuclear encoded tRNA serine 3 (anticodon AGA)	MGI:4414023
n-TSaga4	nuclear encoded tRNA serine 4 (anticodon AGA)	MGI:4414024
n-TSaga5	nuclear encoded tRNA serine 5 (anticodon AGA)	MGI:4414025
n-TSaga6	nuclear encoded tRNA serine 6 (anticodon AGA)	MGI:4414026
n-TSaga7	nuclear encoded tRNA serine 7 (anticodon AGA)	MGI:4414027
n-TSaga8	nuclear encoded tRNA serine 8 (anticodon AGA)	MGI:4414028
n-TSaga9	nuclear encoded tRNA serine 9 (anticodon AGA)	MGI:4414029
n-TScga1	nuclear encoded tRNA serine 1 (anticodon CGA)	MGI:4414032
n-TScga2	nuclear encoded tRNA serine 2 (anticodon CGA)	MGI:4414033
n-TScga3	nuclear encoded tRNA serine 14 (anticodon CGA)	MGI:4414034
n-TSgct1	nuclear encoded tRNA serine 1 (anticodon GCT)	MGI:4414035
n-TSgct2	nuclear encoded tRNA serine 2 (anticodon GCT)	MGI:4414036
n-TSgct3	nuclear encoded tRNA serine 3 (anticodon GCT)	MGI:4414037
n-TSgct4	nuclear encoded tRNA serine 4 (anticodon GCT)	MGI:4414038
n-TSgct5	nuclear encoded tRNA serine 5 (anticodon GCT)	MGI:4414039
n-TSgct6	nuclear encoded tRNA serine 6 (anticodon GCT)	MGI:4414040
n-TSgct7	nuclear encoded tRNA serine 7 (anticodon GCT)	MGI:4414041
n-TSgct8	nuclear encoded tRNA serine 8 (anticodon GCT)	MGI:4414042
n-TSgga1	nuclear encoded tRNA serine 1 (anticodon GGA)	MGI:4414043
n-Tsta1	nuclear encoded tRNA suppressor ta1 (anticodon TTA)	MGI:4414047
n-TStga1	nuclear encoded tRNA serine 1 (anticodon TGA)	MGI:4414044
n-TStga2	nuclear encoded tRNA serine 2 (anticodon TGA)	MGI:4414045
n-TStga3	nuclear encoded tRNA serine 3 (anticodon TGA)	MGI:4414046
n-TTagt1	nuclear encoded tRNA threonine 1 (anticodon AGT)	MGI:4414048
n-TTagt2	nuclear encoded tRNA threonine 2 (anticodon AGT)	MGI:4414049
n-TTagt3	nuclear encoded tRNA threonine 3 (anticodon AGT)	MGI:4414050
n-TTagt4	nuclear encoded tRNA threonine 4 (anticodon AGT)	MGI:4414051
n-TTagt5	nuclear encoded tRNA threonine 5 (anticodon AGT)	MGI:4414052
n-TTagt6	nuclear encoded tRNA threonine 6 (anticodon AGT)	MGI:4414053
n-TTagt7	nuclear encoded tRNA threonine 7 (anticodon AGT)	MGI:4414054
n-TTagt8	nuclear encoded tRNA threonine 8 (anticodon AGT)	MGI:4414055
n-TTagt9	nuclear encoded tRNA threonine 9 (anticodon AGT)	MGI:4414056
n-TTcgt1	nuclear encoded tRNA threonine 1 (anticodon CGT)	MGI:4414057
n-TTcgt2	nuclear encoded tRNA threonine 2 (anticodon CGT)	MGI:4414058
n-TTcgt3	nuclear encoded tRNA threonine 3 (anticodon CGT)	MGI:4414059
n-TTcgt4	nuclear encoded tRNA threonine 4 (anticodon CGT)	MGI:4414060
n-TTcgt5	nuclear encoded tRNA threonine 5 (anticodon CGT)	MGI:4414061
n-TTtgt1	nuclear encoded tRNA threonine 1 (anticodon TGT)	MGI:4414062
n-TTtgt2	nuclear encoded tRNA threonine 2 (anticodon TGT)	MGI:4414063
n-TTtgt3	nuclear encoded tRNA threonine 3 (anticodon TGT)	MGI:4414064
n-TTtgt4	nuclear encoded tRNA threonine 4 (anticodon TGT)	MGI:4414065
n-TUtca1	nuclear encoded tRNA selenocysteine 1 (anticodon TCA)	MGI:4414021
n-TUtca2	nuclear encoded tRNA selenocysteine 2 (anticodon TCA)	MGI:4414022
n-TVaac1	nuclear encoded tRNA valine 1 (anticodon AAC)	MGI:4414084
n-TVaac2	nuclear encoded tRNA valine 2 (anticodon AAC)	MGI:4414085
n-TVaac3	nuclear encoded tRNA valine 3 (anticodon AAC)	MGI:4414086
n-TVaac4	nuclear encoded tRNA valine 4 (anticodon AAC)	MGI:4414087
n-TVaac5	nuclear encoded tRNA valine 5 (anticodon AAC)	MGI:4414088
n-TVaac6	nuclear encoded tRNA valine 6 (anticodon AAC)	MGI:4414089
n-TVaac7	nuclear encoded tRNA valine 7 (anticodon AAC)	MGI:4414090
n-TVaac8	nuclear encoded tRNA valine 8 (anticodon AAC)	MGI:4414091
n-TVcac1	nuclear encoded tRNA valine 1 (anticodon CAC)	MGI:4414092
n-TVcac10	nuclear encoded tRNA valine 10 (anticodon CAC)	MGI:4414101
n-TVcac11	nuclear encoded tRNA valine 11 (anticodon CAC)	MGI:4414102
n-TVcac2	nuclear encoded tRNA valine 2 (anticodon CAC)	MGI:4414093
n-TVcac3	nuclear encoded tRNA valine 3 (anticodon CAC)	MGI:4414094
n-TVcac4	nuclear encoded tRNA valine 4 (anticodon CAC)	MGI:4414095
n-TVcac5	nuclear encoded tRNA valine 5 (anticodon CAC)	MGI:4414096
n-TVcac6	nuclear encoded tRNA valine 6 (anticodon CAC)	MGI:4414097
n-TVcac7	nuclear encoded tRNA valine 7 (anticodon CAC)	MGI:4414098
n-TVcac8	nuclear encoded tRNA valine 8 (anticodon CAC)	MGI:4414099
n-TVcac9	nuclear encoded tRNA valine 9 (anticodon CAC)	MGI:4414100
n-TVgac1	nuclear encoded tRNA valine 1 (anticodon GAC)	MGI:4414103
n-TVtac1	nuclear encoded tRNA valine 1 (anticodon TAC)	MGI:4414104
n-TVtac2	nuclear encoded tRNA valine 2 (anticodon TAC)	MGI:4414105
n-TVtac3	nuclear encoded tRNA valine 3 (anticodon TAC)	MGI:4414106
n-TWcca1	nuclear encoded tRNA trytophan 1 (anticodon CCA)	MGI:4414066
n-TWcca2	nuclear encoded tRNA trytophan 2 (anticodon CCA)	MGI:4414067
n-TWcca3	nuclear encoded tRNA trytophan 3 (anticodon CCA)	MGI:4414068
n-TWcca4	nuclear encoded tRNA trytophan 4 (anticodon CCA)	MGI:4414069
n-TWcca5	nuclear encoded tRNA trytophan 5 (anticodon CCA)	MGI:4414070
n-TWcca6	nuclear encoded tRNA trytophan 6 (anticodon CCA)	MGI:4414071
n-TWcca7	nuclear encoded tRNA trytophan 7 (anticodon CCA)	MGI:4414072
n-TWcca8	nuclear encoded tRNA trytophan 8 (anticodon CCA)	MGI:4414073
n-TYgta1	nuclear encoded tRNA tyrosine 1 (anticodon GTA)	MGI:4414074
n-TYgta10	nuclear encoded tRNA tyrosine 10 (anticodon GTA)	MGI:4414083
n-TYgta2	nuclear encoded tRNA tyrosine 2 (anticodon GTA)	MGI:4414075
n-TYgta3	nuclear encoded tRNA tyrosine 3 (anticodon GTA)	MGI:4414076
n-TYgta4	nuclear encoded tRNA tyrosine 4 (anticodon GTA)	MGI:4414077
n-TYgta5	nuclear encoded tRNA tyrosine 5 (anticodon GTA)	MGI:4414078
n-TYgta6	nuclear encoded tRNA tyrosine 6 (anticodon GTA)	MGI:4414079
n-TYgta7	nuclear encoded tRNA tyrosine 7 (anticodon GTA)	MGI:4414080
n-TYgta8	nuclear encoded tRNA tyrosine 8 (anticodon GTA)	MGI:4414081
n-TYgta9	nuclear encoded tRNA tyrosine 9 (anticodon GTA)	MGI:4414082
N4bp1	NEDD4 binding protein 1	MGI:2136825
N4bp2	NEDD4 binding protein 2	MGI:2684414
N4bp2l1	NEDD4 binding protein 2-like 1	MGI:2140872
N4bp2l2	NEDD4 binding protein 2-like 2	MGI:2687207
N4bp2os	NEDD4 binding protein 2, opposite strand	MGI:1921484
N4bp3	NEDD4 binding protein 3	MGI:2442218
N6amt1	N-6 adenine-specific DNA methyltransferase 1 (putative)	MGI:1915018
Naa10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	MGI:1915255
Naa11	N(alpha)-acetyltransferase 11, NatA catalytic subunit	MGI:2141314
Naa12	N(alpha)-acetyltransferase 12, NatA catalytic subunit	MGI:3833940
Naa15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	MGI:1922088
Naa16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	MGI:1914147
Naa20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	MGI:1915127
Naa25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	MGI:2442563
Naa30	N(alpha)-acetyltransferase 30, NatC catalytic subunit	MGI:1922259
Naa35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	MGI:1925939
Naa38	N(alpha)-acetyltransferase 38, NatC auxiliary subunit	MGI:1925554
Naa40	N(alpha)-acetyltransferase 40, NatD catalytic subunit	MGI:1918249
Naa50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	MGI:1919367
Naa60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	MGI:1922013
Naa80	N(alpha)-acetyltransferase 80, NatH catalytic subunit	MGI:1888902
Naaa	N-acylethanolamine acid amidase	MGI:1914361
Naalad2	N-acetylated alpha-linked acidic dipeptidase 2	MGI:1919810
Naaladl1	N-acetylated alpha-linked acidic dipeptidase-like 1	MGI:2685810
Naaladl2	N-acetylated alpha-linked acidic dipeptidase-like 2	MGI:2685867
Nab1	Ngfi-A binding protein 1	MGI:107564
Nab2	Ngfi-A binding protein 2	MGI:107563
Nabp1	nucleic acid binding protein 1	MGI:1923258
Nabp2	nucleic acid binding protein 2	MGI:1917167
Naca	nascent polypeptide-associated complex alpha polypeptide	MGI:106095
Nacad	NAC alpha domain containing	MGI:3603030
Nacc1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	MGI:1914080
Nacc2	nucleus accumbens associated 2, BEN and BTB (POZ) domain containing	MGI:1915241
nad	spontaneous neuroaxonal dystrophy	MGI:4418710
Nadk	NAD kinase	MGI:2183149
Nadk2	NAD kinase 2, mitochondrial	MGI:1915896
Nadsyn1	NAD synthetase 1	MGI:1926164
Nae1	NEDD8 activating enzyme E1 subunit 1	MGI:2384561
Naf1	nuclear assembly factor 1 ribonucleoprotein	MGI:2682306
Naga	N-acetyl galactosaminidase, alpha	MGI:1261422
Nagk	N-acetylglucosamine kinase	MGI:1860418
Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	MGI:1351641
Nagpa	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	MGI:1351598
Nags	N-acetylglutamate synthase	MGI:2387600
Naif1	nuclear apoptosis inducing factor 1	MGI:1918504
Naip1	NLR family, apoptosis inhibitory protein 1	MGI:1298223
Naip2	NLR family, apoptosis inhibitory protein 2	MGI:1298226
Naip3l1	NLR family, apoptosis inhibitory protein 3-like 1	MGI:1930303
Naip5	NLR family, apoptosis inhibitory protein 5	MGI:1298220
Naip6	NLR family, apoptosis inhibitory protein 6	MGI:1298222
Naip7	NLR family, apoptosis inhibitory protein 7	MGI:1858256
Nalcn	sodium leak channel, non-selective	MGI:2444306
Nalf1	NALCN channel auxiliary factor 1	MGI:2142765
Nalf2	NALCN channel auxiliary factor 2	MGI:3648377
Nampt	nicotinamide phosphoribosyltransferase,Nicotinamide phosphoribosyltransferase	MGI:1929865
Nano	nanomouse	MGI:1861998
Nanog	Nanog homeobox	MGI:1919200
Nanos1	nanos C2HC-type zinc finger 1	MGI:2669254
Nanos2	nanos C2HC-type zinc finger 2	MGI:2676627
Nanos3	nanos C2HC-type zinc finger 3	MGI:2675387
Nanp	N-acetylneuraminic acid phosphatase	MGI:1914561
